type,id,title,milestone,epic,parent,estimate,blocked_by,labels,twin,body
epic,PE08,PE08 — Applications & Pipeline,W4 — Craft objects,PE08,,,,"status:core-h1,wave:w4,area:applications,priority:p0,type:epic",,## Summary\nApplications & Pipeline\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE09,PE09 — Queue & Human Review,W5 — Sovereignty path,PE09,,,,"status:core-h1,wave:w5,area:queue,priority:p0,type:epic",,## Summary\nQueue & Human Review\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE10,PE10 — Send (Egress Boundary),W5 — Sovereignty path,PE10,,,,"status:core-h1,wave:w5,area:send,priority:p0,type:epic",,## Summary\nSend (Egress Boundary)\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE11,PE11 — Follow-ups & Scheduler,W6 — Agent & nudges,PE11,,,,"status:core-h1,wave:w6,area:scheduler,priority:p1,type:epic",,## Summary\nFollow-ups & Scheduler\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE12,PE12 — Timeline & Trust,W5 — Sovereignty path,PE12,,,,"status:core-h1,wave:w5,area:timeline,priority:p0,type:epic",,## Summary\nTimeline & Trust\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
epic,PE13,PE13 — Onboarding & Empty States,W7 — First-run polish,PE13,,,,"status:core-h1,wave:w7,area:onboarding,priority:p1,type:epic",,## Summary\nOnboarding & Empty States\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n\n\n## Twin\nn/a\n
story,PE01-S01,PE01-S01 — Launch desktop host,W0 — Shell boots,PE01,PE01-S01,3d,,"type:story,status:core-h1,wave:w0,area:shell,priority:p0",,## Summary\nLaunch desktop host\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n3d\n\n## Twin\nn/a\n
story,PE01-S03,PE01-S03 — Deny-by-default IPC,W0 — Shell boots,PE01,PE01-S03,2.5d,PE01-S01,"type:story,status:core-h1,wave:w0,area:shell,priority:p0",,## Summary\nDeny-by-default IPC\n\n## Dependencies\nBlocked by: PE01-S01\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
story,PE01-S02,PE01-S02 — Navigate primary H1 sections,W0 — Shell boots,PE01,PE01-S02,2d,PE01-S01,"type:story,status:core-h1,wave:w0,area:shell,priority:p0",,## Summary\nNavigate primary H1 sections\n\n## Dependencies\nBlocked by: PE01-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE01-S04,PE01-S04 — Dark-default appearance,W0 — Shell boots,PE01,PE01-S04,2.5d,PE01-S01,"type:story,status:core-h1,wave:w0,area:shell,priority:p1",,## Summary\nDark-default appearance\n\n## Dependencies\nBlocked by: PE01-S01\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
story,PE04-S03,PE04-S03 — Show Agent On-device status,W0 — Shell boots,PE04,PE04-S03,1.5d,PE01-S01,"type:story,status:core-h1,wave:w0,area:prefs,priority:p0",,## Summary\nShow Agent On-device status\n\n## Dependencies\nBlocked by: PE01-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE02-S01,PE02-S01 — Persist documents on-device,W1 — Data & event spine,PE02,PE02-S01,3d,PE01-S01,"type:story,status:core-h1,wave:w1,area:storage,priority:p0",,## Summary\nPersist documents on-device\n\n## Dependencies\nBlocked by: PE01-S01\n\n## Estimate\n3d\n\n## Twin\nn/a\n
story,PE02-S02,PE02-S02 — Typed local event bus,W1 — Data & event spine,PE02,PE02-S02,2.5d,PE01-S01,"type:story,status:core-h1,wave:w1,area:events,priority:p0",,## Summary\nTyped local event bus\n\n## Dependencies\nBlocked by: PE01-S01\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
story,PE02-S03,PE02-S03 — Durable event hook,W1 — Data & event spine,PE02,PE02-S03,1d,PE02-S02,"type:story,status:core-h1,wave:w1,area:events,priority:p1",,## Summary\nDurable event hook\n\n## Dependencies\nBlocked by: PE02-S02\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE03-S01,PE03-S01 — Maintain local profile,W2 — Trust & identity,PE03,PE03-S01,2d,PE02-S01,"type:story,status:core-h1,wave:w2,area:identity,priority:p0",,## Summary\nMaintain local profile\n\n## Dependencies\nBlocked by: PE02-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE03-S02,PE03-S02 — Import resume into Resume Library,W2 — Trust & identity,PE03,PE03-S02,2d,PE03-S01,"type:story,status:core-h1,wave:w2,area:identity,priority:p0",,## Summary\nImport resume into Resume Library\n\n## Dependencies\nBlocked by: PE03-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE03-S03,PE03-S03 — Version and select resumes,W2 — Trust & identity,PE03,PE03-S03,1d,PE03-S02,"type:story,status:core-h1,wave:w2,area:identity,priority:p1",,## Summary\nVersion and select resumes\n\n## Dependencies\nBlocked by: PE03-S02\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE04-S01,PE04-S01 — Approval-before-send default on,W2 — Trust & identity,PE04,PE04-S01,1.5d,PE02-S01,"type:story,status:core-h1,wave:w2,area:prefs,priority:p0",,## Summary\nApproval-before-send default on\n\n## Dependencies\nBlocked by: PE02-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE04-S04,PE04-S04 — Fit tone and constraint preferences,W2 — Trust & identity,PE04,PE04-S04,1d,PE04-S01,"type:story,status:core-h1,wave:w2,area:prefs,priority:p0",,## Summary\nFit tone and constraint preferences\n\n## Dependencies\nBlocked by: PE04-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE04-S02,PE04-S02 — Quiet hours fields,W2 — Trust & identity,PE04,PE04-S02,0.5d,PE04-S01,"type:story,status:core-h1,wave:w2,area:prefs,priority:p1",,## Summary\nQuiet hours fields\n\n## Dependencies\nBlocked by: PE04-S01\n\n## Estimate\n0.5d\n\n## Twin\nn/a\n
story,PE13-S02,PE13-S02 — Calm empty states,W2 — Trust & identity,PE13,PE13-S02,1.5d,PE01-S02,"type:story,status:core-h1,wave:w2,area:onboarding,priority:p1",,## Summary\nCalm empty states\n\n## Dependencies\nBlocked by: PE01-S02\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE05-S01,PE05-S01 — AI Provider health and complete,W3 — Local intelligence,PE05,PE05-S01,2.5d,PE02-S02,"type:story,status:core-h1,wave:w3,area:ai,priority:p0",,## Summary\nAI Provider health and complete\n\n## Dependencies\nBlocked by: PE02-S02\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
story,PE05-S03,PE05-S03 — Context Builder minimizes context,W3 — Local intelligence,PE05,PE05-S03,1.5d,PE05-S01;PE03-S01,"type:story,status:core-h1,wave:w3,area:ai,priority:p0",,## Summary\nContext Builder minimizes context\n\n## Dependencies\nBlocked by: PE05-S01;PE03-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE05-S05,PE05-S05 — Offline local-primary path,W3 — Local intelligence,PE05,PE05-S05,1d,PE05-S01,"type:story,status:core-h1,wave:w3,area:ai,priority:p0",,## Summary\nOffline local-primary path\n\n## Dependencies\nBlocked by: PE05-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE05-S02,PE05-S02 — Configure local model path,W3 — Local intelligence,PE05,PE05-S02,1.5d,PE05-S01;PE04-S01,"type:story,status:core-h1,wave:w3,area:ai,priority:p0",,## Summary\nConfigure local model path\n\n## Dependencies\nBlocked by: PE05-S01;PE04-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE08-S01,PE08-S01 — Create and edit application drafts,W4 — Craft objects,PE08,PE08-S01,2.5d,PE03-S02,"type:story,status:core-h1,wave:w4,area:applications,priority:p0",,## Summary\nCreate and edit application drafts\n\n## Dependencies\nBlocked by: PE03-S02\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
story,PE08-S04,PE08-S04 — List and open applications,W4 — Craft objects,PE08,PE08-S04,1.5d,PE08-S01,"type:story,status:core-h1,wave:w4,area:applications,priority:p0",,## Summary\nList and open applications\n\n## Dependencies\nBlocked by: PE08-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE07-S01,PE07-S01 — Register Job Provider source,W4 — Craft objects,PE07,PE07-S01,2d,PE02-S02,"type:story,status:core-h1,wave:w4,area:discovery,priority:p0",,## Summary\nRegister Job Provider source\n\n## Dependencies\nBlocked by: PE02-S02\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE07-S02,PE07-S02 — Curate roles toward fit,W4 — Craft objects,PE07,PE07-S02,1d,PE07-S01;PE04-S04,"type:story,status:core-h1,wave:w4,area:discovery,priority:p1",,## Summary\nCurate roles toward fit\n\n## Dependencies\nBlocked by: PE07-S01;PE04-S04\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE07-S04,PE07-S04 — Browse and select curated roles,W4 — Craft objects,PE07,PE07-S04,1d,PE07-S02,"type:story,status:core-h1,wave:w4,area:discovery,priority:p1",,## Summary\nBrowse and select curated roles\n\n## Dependencies\nBlocked by: PE07-S02\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE08-S02,PE08-S02 — Cover letter draft,W4 — Craft objects,PE08,PE08-S02,1d,PE08-S01;PE05-S01,"type:story,status:core-h1,wave:w4,area:applications,priority:p1",,## Summary\nCover letter draft\n\n## Dependencies\nBlocked by: PE08-S01;PE05-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE03-S04,PE03-S04 — Tailor resume draft no send,W4 — Craft objects,PE03,PE03-S04,1.5d,PE03-S02;PE05-S01;PE05-S03,"type:story,status:core-h1,wave:w4,area:identity,priority:p0",,## Summary\nTailor resume draft no send\n\n## Dependencies\nBlocked by: PE03-S02;PE05-S01;PE05-S03\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE07-S03,PE07-S03 — Analyze job vs profile,W4 — Craft objects,PE07,PE07-S03,1d,PE07-S01;PE05-S03,"type:story,status:core-h1,wave:w4,area:discovery,priority:p1",,## Summary\nAnalyze job vs profile\n\n## Dependencies\nBlocked by: PE07-S01;PE05-S03\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE09-S01,PE09-S01 — Enqueue for review,W5 — Sovereignty path,PE09,PE09-S01,1.5d,PE08-S01,"type:story,status:core-h1,wave:w5,area:queue,priority:p0",,## Summary\nEnqueue for review\n\n## Dependencies\nBlocked by: PE08-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE09-S02,PE09-S02 — Approve or reject,W5 — Sovereignty path,PE09,PE09-S02,2d,PE09-S01;PE04-S01,"type:story,status:core-h1,wave:w5,area:queue,priority:p0",,## Summary\nApprove or reject\n\n## Dependencies\nBlocked by: PE09-S01;PE04-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE12-S01,PE12-S01 — Inspect local timeline,W5 — Sovereignty path,PE12,PE12-S01,2d,PE02-S03,"type:story,status:core-h1,wave:w5,area:timeline,priority:p0",,## Summary\nInspect local timeline\n\n## Dependencies\nBlocked by: PE02-S03\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE10-S01,PE10-S01 — Send through send package,W5 — Sovereignty path,PE10,PE10-S01,3.5d,PE09-S02,"type:story,status:core-h1,wave:w5,area:send,priority:p0",,## Summary\nSend through send package\n\n## Dependencies\nBlocked by: PE09-S02\n\n## Estimate\n3.5d\n\n## Twin\nn/a\n
story,PE10-S02,PE10-S02 — Audit egress on Timeline,W5 — Sovereignty path,PE10,PE10-S02,1d,PE10-S01;PE12-S01,"type:story,status:core-h1,wave:w5,area:send,priority:p0",,## Summary\nAudit egress on Timeline\n\n## Dependencies\nBlocked by: PE10-S01;PE12-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE08-S03,PE08-S03 — Track status post-send,W5 — Sovereignty path,PE08,PE08-S03,1d,PE08-S01;PE10-S01,"type:story,status:core-h1,wave:w5,area:applications,priority:p1",,## Summary\nTrack status post-send\n\n## Dependencies\nBlocked by: PE08-S01;PE10-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE12-S02,PE12-S02 — Sanitized logs view,W5 — Sovereignty path,PE12,PE12-S02,1d,PE12-S01,"type:story,status:core-h1,wave:w5,area:timeline,priority:p1",,## Summary\nSanitized logs view\n\n## Dependencies\nBlocked by: PE12-S01\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE06-S01,PE06-S01 — Start and pause agent,W6 — Agent & nudges,PE06,PE06-S01,2d,PE04-S01;PE05-S01,"type:story,status:core-h1,wave:w6,area:agent,priority:p0",,## Summary\nStart and pause agent\n\n## Dependencies\nBlocked by: PE04-S01;PE05-S01\n\n## Estimate\n2d\n\n## Twin\nn/a\n
story,PE06-S02,PE06-S02 — Orchestrate drafts into Queue,W6 — Agent & nudges,PE06,PE06-S02,2.5d,PE06-S01;PE08-S01;PE09-S01,"type:story,status:core-h1,wave:w6,area:agent,priority:p0",,## Summary\nOrchestrate drafts into Queue\n\n## Dependencies\nBlocked by: PE06-S01;PE08-S01;PE09-S01\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
story,PE11-S01,PE11-S01 — Schedule polite follow-up,W6 — Agent & nudges,PE11,PE11-S01,1.5d,PE08-S03;PE02-S01,"type:story,status:core-h1,wave:w6,area:scheduler,priority:p1",,## Summary\nSchedule polite follow-up\n\n## Dependencies\nBlocked by: PE08-S03;PE02-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE11-S03,PE11-S03 — Scheduler survives restart,W6 — Agent & nudges,PE11,PE11-S03,1.5d,PE11-S01,"type:story,status:core-h1,wave:w6,area:scheduler,priority:p1",,## Summary\nScheduler survives restart\n\n## Dependencies\nBlocked by: PE11-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE11-S02,PE11-S02 — Calm due notification,W6 — Agent & nudges,PE11,PE11-S02,1d,PE11-S01;PE04-S02,"type:story,status:core-h1,wave:w6,area:scheduler,priority:p1",,## Summary\nCalm due notification\n\n## Dependencies\nBlocked by: PE11-S01;PE04-S02\n\n## Estimate\n1d\n\n## Twin\nn/a\n
story,PE11-S04,PE11-S04 — Dismiss or send under policy,W6 — Agent & nudges,PE11,PE11-S04,1.5d,PE11-S02;PE09-S02;PE10-S01,"type:story,status:core-h1,wave:w6,area:scheduler,priority:p1",,## Summary\nDismiss or send under policy\n\n## Dependencies\nBlocked by: PE11-S02;PE09-S02;PE10-S01\n\n## Estimate\n1.5d\n\n## Twin\nn/a\n
story,PE13-S01,PE13-S01 — Calm first-run onboarding,W7 — First-run polish,PE13,PE13-S01,2.5d,PE04-S01;PE03-S02;PE04-S03,"type:story,status:core-h1,wave:w7,area:onboarding,priority:p1",,## Summary\nCalm first-run onboarding\n\n## Dependencies\nBlocked by: PE04-S01;PE03-S02;PE04-S03\n\n## Estimate\n2.5d\n\n## Twin\nn/a\n
task,PE01-S01-T01,PE01-S01-T01 — Scaffold desktop window titled JobJitsu,W0 — Shell boots,PE01,PE01-S01,1d,,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E01-F02-S01-T01,## Summary\nScaffold desktop window titled JobJitsu\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n1d\n\n## Twin\nE01-F02-S01-T01\n
task,PE01-S01-T02,PE01-S01-T02 — Wire UI entry (React) into host webview,W0 — Shell boots,PE01,PE01-S01,1d,PE01-S01-T01,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E01-F03-S01-T01,## Summary\nWire UI entry (React) into host webview\n\n## Dependencies\nBlocked by: PE01-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE01-F03-S01-T01\n
task,PE01-S01-T03,PE01-S01-T03 — Smoke: launch with no career egress,W0 — Shell boots,PE01,PE01-S01,0.5d,PE01-S01-T02,"type:task,status:core-h1,wave:w0,area:shell,priority:p0,fence:sovereignty",,## Summary\nSmoke: launch with no career egress\n\n## Dependencies\nBlocked by: PE01-S01-T02\n\n## Estimate\n0.5d\n\n## Twin\nn/a\n
task,PE01-S03-T01,PE01-S03-T01 — Define IPC allowlist enum,W0 — Shell boots,PE01,PE01-S03,0.5d,PE01-S01-T01,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E03-F01-S01-T01,## Summary\nDefine IPC allowlist enum\n\n## Dependencies\nBlocked by: PE01-S01-T01\n\n## Estimate\n0.5d\n\n## Twin\nE03-F01-S01-T01\n
task,PE01-S03-T02,PE01-S03-T02 — Host dispatcher fails closed on unknown,W0 — Shell boots,PE01,PE01-S03,1d,PE01-S03-T01,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E03-F01-S01-T02,## Summary\nHost dispatcher fails closed on unknown\n\n## Dependencies\nBlocked by: PE01-S03-T01\n\n## Estimate\n1d\n\n## Twin\nE03-F01-S01-T02\n
task,PE01-S03-T03,PE01-S03-T03 — Typed UI bridge client,W0 — Shell boots,PE01,PE01-S03,0.5d,PE01-S03-T02,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E03-F01-S01-T03,## Summary\nTyped UI bridge client\n\n## Dependencies\nBlocked by: PE01-S03-T02\n\n## Estimate\n0.5d\n\n## Twin\nE03-F01-S01-T03\n
task,PE01-S03-T04,PE01-S03-T04 — Contract test: deny unknown + no UI AI,W0 — Shell boots,PE01,PE01-S03,0.5d,PE01-S03-T02,"type:task,status:core-h1,wave:w0,area:shell,priority:p0,fence:sovereignty",E03-F01-S01-T04,## Summary\nContract test: deny unknown + no UI AI\n\n## Dependencies\nBlocked by: PE01-S03-T02\n\n## Estimate\n0.5d\n\n## Twin\nE03-F01-S01-T04\n
task,PE01-S02-T01,PE01-S02-T01 — Shell layout sidebar main status,W0 — Shell boots,PE01,PE01-S02,1d,PE01-S01-T02,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E03-F02-S01-T01,## Summary\nShell layout sidebar main status\n\n## Dependencies\nBlocked by: PE01-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE03-F02-S01-T01\n
task,PE01-S02-T02,PE01-S02-T02 — Nav H1 section routes,W0 — Shell boots,PE01,PE01-S02,1d,PE01-S02-T01,"type:task,status:core-h1,wave:w0,area:shell,priority:p0",E03-F02-S01-T02,## Summary\nNav H1 section routes\n\n## Dependencies\nBlocked by: PE01-S02-T01\n\n## Estimate\n1d\n\n## Twin\nE03-F02-S01-T02\n
task,PE01-S04-T01,PE01-S04-T01 — Design tokens + dark semantic theme,W0 — Shell boots,PE01,PE01-S04,1d,PE01-S01-T02,"type:task,status:core-h1,wave:w0,area:shell,priority:p1",E01-F04-S01-T02,## Summary\nDesign tokens + dark semantic theme\n\n## Dependencies\nBlocked by: PE01-S01-T02\n\n## Estimate\n1d\n\n## Twin\nE01-F04-S01-T02\n
task,PE01-S04-T02,PE01-S04-T02 — Persist appearance preference,W0 — Shell boots,PE01,PE01-S04,1d,PE01-S04-T01,"type:task,status:core-h1,wave:w0,area:shell,priority:p1",E03-F03-S01-T01,## Summary\nPersist appearance preference\n\n## Dependencies\nBlocked by: PE01-S04-T01\n\n## Estimate\n1d\n\n## Twin\nE03-F03-S01-T01\n
task,PE01-S04-T03,PE01-S04-T03 — AA contrast smoke primary text,W0 — Shell boots,PE01,PE01-S04,0.5d,PE01-S04-T01,"type:task,status:core-h1,wave:w0,area:shell,priority:p1",,## Summary\nAA contrast smoke primary text\n\n## Dependencies\nBlocked by: PE01-S04-T01\n\n## Estimate\n0.5d\n\n## Twin\nn/a\n
task,PE04-S03-T01,PE04-S03-T01 — Agent On-device badge in status region,W0 — Shell boots,PE04,PE04-S03,1d,PE01-S02-T01,"type:task,status:core-h1,wave:w0,area:prefs,priority:p0",E05-F03-S01-T01,## Summary\nAgent On-device badge in status region\n\n## Dependencies\nBlocked by: PE01-S02-T01\n\n## Estimate\n1d\n\n## Twin\nE05-F03-S01-T01\n
task,PE04-S03-T02,PE04-S03-T02 — Unavailable ready states without model,W0 — Shell boots,PE04,PE04-S03,0.5d,PE04-S03-T01,"type:task,status:core-h1,wave:w0,area:prefs,priority:p0",,## Summary\nUnavailable ready states without model\n\n## Dependencies\nBlocked by: PE04-S03-T01\n\n## Estimate\n0.5d\n\n## Twin\nn/a\n
task,PE02-S01-T01,PE02-S01-T01 — Storage interface packages/storage,W1 — Data & event spine,PE02,PE02-S01,0.5d,PE01-S01-T02,"type:task,status:core-h1,wave:w1,area:storage,priority:p0",E02-F01-S01-T01,## Summary\nStorage interface packages/storage\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n0.5d\n\n## Twin\nE02-F01-S01-T01\n
task,PE02-S01-T02,PE02-S01-T02 — Local adapter roundtrip temp dir,W1 — Data & event spine,PE02,PE02-S01,1d,PE02-S01-T01,"type:task,status:core-h1,wave:w1,area:storage,priority:p0",E02-F01-S01-T02,## Summary\nLocal adapter roundtrip temp dir\n\n## Dependencies\nBlocked by: PE02-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE02-F01-S01-T02\n
task,PE02-S01-T03,PE02-S01-T03 — Blob put/get user-data path,W1 — Data & event spine,PE02,PE02-S01,1d,PE02-S01-T01,"type:task,status:core-h1,wave:w1,area:storage,priority:p0",E02-F01-S01-T03,## Summary\nBlob put/get user-data path\n\n## Dependencies\nBlocked by: PE02-S01-T01\n\n## Estimate\n1d\n\n## Twin\nE02-F01-S01-T03\n
task,PE02-S01-T04,PE02-S01-T04 — Path resolution helper,W1 — Data & event spine,PE02,PE02-S01,0.5d,PE02-S01-T01,"type:task,status:core-h1,wave:w1,area:storage,priority:p0",E02-F01-S01-T04,## Summary\nPath resolution helper\n\n## Dependencies\nBlocked by: PE02-S01-T01\n\n## Estimate\n0.5d\n\n## Twin\nE02-F01-S01-T04\n
task,PE02-S02-T01,PE02-S02-T01 — Event name catalog EVENT_SYSTEM,W1 — Data & event spine,PE02,PE02-S02,1d,PE01-S01-T02,"type:task,status:core-h1,wave:w1,area:events,priority:p0",E02-F02-S01-T01,## Summary\nEvent name catalog EVENT_SYSTEM\n\n## Dependencies\nBlocked by: none\n\n## Estimate\n1d\n\n## Twin\nE02-F02-S01-T01\n
task,PE02-S02-T02,PE02-S02-T02 — ID-centric payload types,W1 — Data & event spine,PE02,PE02-S02,0.5d,PE02-S02-T01,"type:task,status:core-h1,wave:w1,area:events,priority:p0",E02-F02-S01-T02,## Summary\nID-centric payload types\n\n## Dependencies\nBlocked by: PE02-S02-T01\n\n## Estimate\n0.5d\n\n## Twin\nE02-F02-S01-T02\n
task,PE02-S02-T03,PE02-S02-T03 — In-process pub/sub bus,W1 — Data & event spine,PE02,PE02-S02,1d,PE02-S02-T01,"type:task,status:core-h1,wave:w1,area:events,priority:p0",E02-F03-S01-T01,## Summary\nIn-process pub/sub bus\n\n## Dependencies\nBlocked by: PE02-S02-T01\n\n## Estimate\n1d\n\n## Twin\nE02-F03-S01-T01\n
task,PE02-S03-T01,PE02-S03-T01 — Durable sink interface + memory sink,W1 — Data & event spine,PE02,PE02-S03,0.5d,PE02-S02-T03,"type:task,status:core-h1,wave:w1,area:events,priority:p1",E02-F04-S01-T01,## Summary\nDurable sink interface + memory sink\n\n## Dependencies\nBlocked by: PE02-S02-T03\n\n## Estimate\n0.5d\n\n## Twin\nE02-F04-S01-T01\n
task,PE02-S03-T02,PE02-S03-T02 — Durable allowlist config,W1 — Data & event spine,PE02,PE02-S03,0.5d,PE02-S03-T01,"type:task,status:core-h1,wave:w1,area:events,priority:p1",E02-F04-S01-T02,## Summary\nDurable allowlist config\n\n## Dependencies\nBlocked by: PE02-S03-T01\n\n## Estimate\n0.5d\n\n## Twin\nE02-F04-S01-T02\n
